Title,Season,Episode Number,Colors,Color IDs,Image Links,Youtube Links,All Colors,Subject Matter,Air Dates,Months,Notes,Subjects
A Walk in the Woods,1,1,"Alizarin Crimson,Bright Red,Cadmium Yellow,Phthalo Green,Prussian Blue,Sap Green,Titanium White,Van Dyke Brown","2,4,12,13,14,15,16,18",https://www.twoinchbrush.com/images/painting282.png,https://www.youtube.com/embed/oh5p5f5_-7A,Black-Gesso,Apple-Frame,"January 11, 1983",January,empty,"8,17,28,49,59,60"
Mt. McKinley,1,2,"Alizarin Crimson,Bright Red,Cadmium Yellow,Phthalo Green,Prussian Blue,Sap Green,Titanium White,Van Dyke Brown","2,4,12,13,14,15,16,18",https://www.twoinchbrush.com/images/painting283.png,https://www.youtube.com/embed/RInDWhYceLU,Bright-Red,Aurora-Borealis,"January 11, 1983",January,empty,"9,14,15,38,52,53,59,60,66"
Ebony Sunset,1,3,"Alizarin Crimson,Black Gesso,Bright Red,Cadmium Yellow,Phthalo Green,Prussian Blue,Sap Green,Titanium White,Van Dyke Brown","1,2,4,12,13,14,15,16,18",https://www.twoinchbrush.com/images/painting284.png,https://www.youtube.com/embed/UOziR7PoVco,Burnt-Umber,Barn,"January 18, 1983",January,empty,"9,15,22,38,39,56,57,59,60,66"
Winter Mist,1,4,"Prussian Blue,Titanium White,Van Dyke Brown","13,15,16",https://www.twoinchbrush.com/images/painting285.png,https://www.youtube.com/embed/0pwoixRikn4,Cadmium-Yellow,Beach,"January 25, 1983",January,empty,"8,14,15,33,38,53,59,60"
Quiet Stream,1,5,"Alizarin Crimson,Bright Red,Cadmium Yellow,Phthalo Green,Prussian Blue,Sap Green,Titanium White,Van Dyke Brown","2,4,12,13,14,15,16,18",https://www.twoinchbrush.com/images/painting286.png,https://www.youtube.com/embed/DFSIQNjKRfk,Dark-Sienna,Boat,"February 1, 1983",February,empty,"17,49,50,59,60"
Winter Moon,1,6,"Black Gesso,Prussian Blue,Titanium White,Van Dyke Brown","1,13,15,16",https://www.twoinchbrush.com/images/painting287.png,https://www.youtube.com/embed/loAzRUzx1wI,Indian-Red,Bridge,"February 8, 1983",February,empty,"9,15,33,37,38,39,40,52,53,56,59,60,66"
Autumn Mountain,1,7,"Alizarin Crimson,Bright Red,Cadmium Yellow,Phthalo Green,Prussian Blue,Sap Green,Titanium White,Van Dyke Brown","2,4,12,13,14,15,16,18",https://www.twoinchbrush.com/images/painting288.png,https://www.youtube.com/embed/sDdpc8uisD0,Indian-Yellow,Building,"February 15, 1983",February,empty,"17,33,38,39,53,59,60"
Peaceful Valley,1,8,"Alizarin Crimson,Bright Red,Cadmium Yellow,Phthalo Green,Prussian Blue,Sap Green,Titanium White,Van Dyke Brown","2,4,12,13,14,15,16,18",https://www.twoinchbrush.com/images/painting289.png,https://www.youtube.com/embed/kQlFwTOkYzg,Liquid-Black,Bushes,"February 22, 1983",February,empty,"8,15,33,38,39,59,60"
Seascape,1,9,"Alizarin Crimson,Bright Red,Cadmium Yellow,Phthalo Green,Prussian Blue,Sap Green,Titanium White,Van Dyke Brown","2,4,12,13,14,15,16,18",https://www.twoinchbrush.com/images/painting290.png,https://www.youtube.com/embed/QxcS7p1VHyQ,Liquid-Clear,Cabin,"March 1, 1983",March,empty,"4,14,22,41"
Mountain Lake,1,10,"Alizarin Crimson,Bright Red,Cadmium Yellow,Phthalo Green,Prussian Blue,Sap Green,Titanium White,Van Dyke Brown","2,4,12,13,14,15,16,18",https://www.twoinchbrush.com/images/painting291.png,https://www.youtube.com/embed/wDnLlywAL5I,Midnight-Black,Cactus,"March 8, 1983",March,empty,"8,15,17,33,38,59,60"
